,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,I Like It,Invasion of Privacy,Cardi B,2018-04-06,253390,84,0.816,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,136.048,4
38,Feel It Still,Woodstock,Portugal. The Man,2017-06-16,163253,80,0.801,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4
39,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,81,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4
40,FRIENDS,FRIENDS,Marshmello,2018-02-09,202620,83,0.626,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,4
41,Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,203417,83,0.596,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,120.274,4
42,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,85,0.605,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,4
43,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,84,0.791,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4
44,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,82,0.681,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4
45,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-05-23,239835,7,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4
46,Meant to Be (feat. Florida Georgia Line),Expectations,Bebe Rexha,2018-06-22,164205,72,0.642,0.0476,0.642,0.772,0.0,0.0646,-6.61,0.0848,153.995,4
47,Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,83,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4
48,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,87,0.585,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4
49,The Middle,The Middle,Zedd,2018-01-23,184732,84,0.753,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,107.01,4
50,God's Plan,Scorpion,Drake,2018-06-29,198973,85,0.754,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,4
51,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
52,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,83,0.444,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4
53,Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,291893,76,0.794,0.142,0.794,0.632,0.0,0.128,-6.163,0.0649,145.926,4
54,Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,82,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
55,Silence,Silence,Marshmello,2017-08-11,180822,81,0.52,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4
56,Despacito - Remix,VIDA,Luis Fonsi,2019-02-01,230413,75,0.649,0.226,0.649,0.798,0.0,0.0711,-4.346,0.178,177.899,4
57,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,2018-04-27,221440,82,0.75,0.546,0.75,0.56,0.0,0.111,-8.094,0.105,140.06,4
58,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,251088,78,0.72,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,4
59,It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,220780,78,0.64,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,4
60,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
61,Your Song,Your Song,Rita Ora,2017-05-25,180757,71,0.855,0.158,0.855,0.624,0.0,0.0513,-4.093,0.0488,117.959,4
62,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,79,0.667,0.0123,0.667,0.83,0.0,0.191,-5.715,0.0749,113.03,4
63,Mercy,Illuminate (Deluxe),Shawn Mendes,2017-04-20,208733,80,0.555,0.125,0.555,0.662,0.0,0.111,-4.952,0.0827,148.128,4
64,Young Dumb & Broke,American Teen,Khalid,2017-04-27,202546,83,0.798,0.199,0.798,0.539,1.66e-05,0.165,-6.351,0.0421,136.949,4
65,Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2016-03-11,230226,79,0.319,0.0285,0.319,0.739,0.0,0.111,-5.74,0.272,194.169,4
66,Bank Account,Issa Album,21 Savage,2017-09-23,220306,80,0.884,0.0151,0.884,0.346,7.04e-06,0.0871,-8.228,0.351,75.016,4
67,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,81,0.649,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4
68,Closer,Closer,The Chainsmokers,2016-07-29,244960,85,0.748,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4
69,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,83,0.522,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4
70,Lush Life,So Good,Zara Larsson,2017-03-17,201122,79,0.694,0.133,0.694,0.712,0.0,0.211,-3.923,0.046,98.022,4
71,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Calvin Harris,2016-04-29,222160,81,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4
72,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,78,0.664,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,4
73,Cheap Thrills,This Is Acting,Sia,2016-02-18,211666,63,0.628,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4
74,7 Years,Lukas Graham (Blue Album),Lukas Graham,2015-06-16,237300,52,0.742,0.29,0.742,0.479,0.0,0.391,-5.83,0.0551,119.951,4
75,One Dance,Views,Drake,2016-05-06,173986,82,0.792,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,103.967,4
76,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,77,0.746,0.0152,0.746,0.754,0.0,0.0486,-6.684,0.0676,149.882,4
77,PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,202746,79,0.584,0.117,0.584,0.7,0.0,0.0939,-4.275,0.0456,124.944,4
78,Stressed Out,Blurryface,Twenty One Pilots,2015-05-15,202333,84,0.734,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4
79,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,79,0.623,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4
80,Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,2017-11-24,246240,76,0.773,0.0239,0.773,0.747,8.23e-06,0.11,-4.061,0.0889,126.014,4
81,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,81,0.774,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4
82,The Greatest (feat. Kendrick Lamar),This Is Acting (Deluxe Version),Sia,2016-10-21,210226,74,0.668,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,4
83,Gold,Gold,Kiiara,2015-10-26,225882,61,0.6,0.615,0.6,0.412,0.0025,0.134,-9.343,0.344,113.049,5
84,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,194613,79,0.53,0.108,0.53,0.433,0.0,0.135,-10.598,0.185,160.14,4
85,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,2012,204160,80,0.581,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,4
86,Waves - Robin Schulz Radio Edit,Waves (Robin Schulz Radio Edit),Mr. Probz,2014-02-07,208133,79,0.829,0.00821,0.829,0.51,0.0014,0.0829,-9.334,0.0369,119.993,4
87,Rather Be (feat. Jess Glynne),Rather Be (feat. Jess Glynne),Clean Bandit,2014-01-17,227833,74,0.799,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,120.97,4
88,In the Name of Love,In the Name of Love,Martin Garrix,2016-07-29,195706,80,0.501,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,133.99,4
89,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
90,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),I,Felix Jaehn,2018-02-16,186146,75,0.778,0.672,0.778,0.566,0.000197,0.0698,-6.959,0.0311,117.971,4
91,Lips Are Movin,Title (Deluxe),Meghan Trainor,2015-01-09,182666,70,0.775,0.0506,0.775,0.825,1.03e-06,0.111,-5.402,0.0464,139.091,4
92,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,192120,82,0.73,0.109,0.73,0.703,0.0,0.0657,-5.672,0.0369,138.113,4
93,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,252226,78,0.659,0.385,0.659,0.381,0.0,0.0972,-5.922,0.0304,119.844,3
94,Time of Our Lives,Globalization,Pitbull,2014-11-21,229360,78,0.72,0.0921,0.72,0.802,0.0,0.694,-5.797,0.0582,124.043,4
95,Want to Want Me,Everything Is 4,Jason Derulo,2015-05-29,207719,79,0.775,0.00906,0.775,0.68,0.0,0.109,-5.508,0.0629,114.025,4
96,Take Me To Church,Hozier,Hozier,2014-07-20,241688,82,0.566,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,4
97,Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015-10-16,180565,78,0.782,0.166,0.782,0.685,1.18e-05,0.16,-6.237,0.0309,118.016,4
98,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,82,0.856,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,4
99,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015,229525,83,0.689,0.369,0.689,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4
