,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,82,0.601,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4
1,"Signed, Sealed, Delivered (I'm Yours)",Signed Sealed And Delivered,Stevie Wonder,1970-08-01,160500,3,0.67,0.0514,0.67,0.619,0.0,0.0492,-10.365,0.0323,108.826,4
2,Wonderful Tonight,Slowhand 35th Anniversary (Super Deluxe),Eric Clapton,1977-11-01,225026,76,0.572,0.649,0.572,0.214,0.129,0.125,-15.625,0.0293,95.542,4
3,Do That To Me One More Time,Make Your Move,Captain & Tennille,1979-01-01,256666,67,0.728,0.563,0.728,0.524,0.000131,0.0913,-8.227,0.0255,90.262,4
4,The Air That I Breathe - 2008 Remaster,Hollies,The Hollies,1974-03-01,257106,69,0.279,0.242,0.279,0.473,0.00164,0.158,-8.375,0.0309,167.792,4
5,If You Leave Me Now,Chicago X,Chicago,1976-06-14,235373,75,0.429,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,104.212,4
6,Hotel California - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,2003-10-21,391376,62,0.579,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,4
7,"You're The First, The Last, My Everything",All-Time Greatest Hits,Barry White,1994-08-10,208933,65,0.631,0.00367,0.631,0.59,0.00299,0.0537,-12.138,0.0297,130.145,4
8,Hold the Line,The Essential Toto,TOTO,2014-06-23,236106,65,0.482,0.0191,0.482,0.835,0.0143,0.162,-7.68,0.0539,96.444,4
9,Because the Night,Easter,Patti Smith,1978,204800,67,0.466,0.0542,0.466,0.763,0.0,0.119,-7.748,0.0391,123.539,4
10,September,"The Essential Earth, Wind & Fire","Earth, Wind & Fire",2014-03-25,215080,68,0.694,0.165,0.694,0.831,0.000892,0.25,-7.288,0.0301,125.901,4
11,Me and Bobby McGee,Pearl (Legacy Edition),Janis Joplin,1971-01-11,271333,73,0.453,0.302,0.453,0.464,5.96e-05,0.152,-10.96,0.0431,93.19,4
12,Stayin' Alive - Remastered Version,Number Ones,Bee Gees,2004-11-09,285200,0,0.675,0.0696,0.675,0.899,0.000139,0.33,-6.124,0.0418,103.683,4
