,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
41,You Were Meant For Me,Pieces Of You,Jewel,1995-02-28,254480,67,0.582,0.791,0.582,0.33,1.48e-06,0.105,-7.928,0.0347,111.873,4
42,All Star,Astro Lounge,Smash Mouth,1999-06-08,200373,80,0.731,0.0395,0.731,0.867,0.0,0.0861,-5.881,0.032,104.019,4
43,Every Time I Close My Eyes (with Kenny G),The Day,Babyface,1996-10-29,296266,63,0.654,0.0624,0.654,0.417,0.0,0.0963,-7.699,0.025,143.676,4
44,Show Me Love,Show Me Love,Robin S,1993-06-15,252106,70,0.811,0.014,0.811,0.833,2.06e-05,0.0769,-4.259,0.153,120.258,4
45,Nothing Else Matters,Metallica,Metallica,1991-08-12,388266,81,0.553,0.0458,0.553,0.362,6.01e-06,0.075,-11.218,0.0263,142.352,3
46,No Diggity,Another Level,Blackstreet,1996-09-09,304600,77,0.867,0.303,0.867,0.646,0.0,0.279,-4.674,0.288,88.634,4
47,When You're Gone,On A Day Like Today,Bryan Adams,1998-01-01,204893,68,0.546,0.000299,0.546,0.931,2.92e-05,0.11,-6.344,0.0341,125.495,4
48,The Power of Love,The Colour Of My Love,Céline Dion,1993-11-09,342400,69,0.546,0.36,0.546,0.519,0.00046,0.24,-9.072,0.0291,140.054,4
49,Believe,Believe,Cher,1998,239026,77,0.652,0.0082,0.652,0.917,0.0,0.0509,-6.72,0.0548,132.975,4
50,Rhythm Divine,Enrique,Enrique Iglesias,1999-01-01,209773,57,0.628,0.13,0.628,0.971,0.0,0.0937,-2.713,0.16,101.999,4
51,U Can't Touch This,Please Hammer Don't Hurt 'Em,MC Hammer,1990-02-20,257360,74,0.867,0.00456,0.867,0.517,0.000339,0.0864,-13.222,0.0875,133.148,4
52,Heal the World,Dangerous,Michael Jackson,1991-11-13,384306,70,0.534,0.537,0.534,0.485,1.79e-06,0.104,-8.045,0.0467,80.923,4
53,Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill,1998-08-25,320266,0,0.535,0.0393,0.535,0.505,0.0,0.0923,-8.926,0.245,99.935,4
54,I'll Make Love To You,II,Boyz II Men,1994-08-30,236760,68,0.559,0.103,0.559,0.49,0.0,0.099,-8.06,0.0247,142.447,3
55,Shy Guy,Tougher Than Love,Diana King,1995-04-14,258560,62,0.714,0.0128,0.714,0.825,0.000569,0.049,-5.447,0.0751,94.074,4
56,(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,1991-09-24,393640,76,0.533,0.0805,0.533,0.36,1.03e-05,0.0631,-12.633,0.0282,131.229,4
57,Don't Let Go (Love),EV3,En Vogue,1997-06-17,291880,63,0.618,0.409,0.618,0.688,6.32e-06,0.3,-5.867,0.0477,78.311,4
58,Truly Madly Deeply,Savage Garden,Savage Garden,1997-03-04,277266,75,0.555,0.403,0.555,0.698,0.0,0.0851,-8.874,0.0287,168.12,4
59,Could I Have This Kiss Forever,Enrique,Enrique Iglesias,1999-01-01,235293,59,0.457,0.00338,0.457,0.892,4.46e-06,0.141,-5.926,0.0986,93.664,4
60,The Boy Is Mine,Never Say Never,Brandy,1998-05-29,294786,69,0.704,0.539,0.704,0.707,0.00106,0.318,-6.537,0.0391,93.145,4
61,Virtual Insanity - Remastered,Travelling Without Moving (Remastered),Jamiroquai,1996-09-09,340906,57,0.618,0.171,0.618,0.893,3.17e-05,0.285,-6.475,0.109,91.972,4
62,Vogue,Celebration (double disc version),Madonna,2009-09-18,316813,69,0.737,0.00379,0.737,0.88,0.00351,0.417,-6.449,0.0433,115.998,4
63,End Of The Road,Cooleyhighharmony (Bonus Tracks Version),Boyz II Men,1991-04-30,351466,72,0.64,0.0664,0.64,0.427,0.0,0.0579,-9.29,0.0241,149.703,3
64,Coco Jamboo - Radio Version,We See The Same Sun,Mr. President,1996,218733,0,0.832,0.0791,0.832,0.838,0.0,0.152,-5.414,0.0421,100.019,4
65,Just A Girl,Tragic Kingdom,No Doubt,1995-10-10,208400,0,0.641,0.0799,0.641,0.914,6.54e-05,0.132,-4.798,0.05,107.996,4
66,Everybody Hurts,Automatic For The People (U.S. Version),R.E.M.,1992-10-05,318240,0,0.254,0.614,0.254,0.383,0.0237,0.172,-8.036,0.0282,188.2,3
67,Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999,243160,74,0.425,0.00411,0.425,0.954,0.0,0.0555,-3.756,0.0476,178.043,4
68,Let Me Entertain You,Life Thru A Lens,Robbie Williams,1997-01-01,262000,69,0.478,0.000169,0.478,0.965,0.00251,0.0854,-5.022,0.0642,125.152,4
69,Joyride,Joyride (2009 Version),Roxette,1991-03-28,263093,9,0.631,0.0457,0.631,0.77,0.0,0.481,-5.315,0.0267,102.348,4
70,Crazy,Seal,Seal,1991-06-11,268040,57,0.633,0.408,0.633,0.846,0.00341,0.11,-6.744,0.0426,102.871,4
71,One Sweet Day,Daydream,Mariah Carey,1995-09-26,281066,69,0.569,0.353,0.569,0.495,0.0,0.0839,-8.964,0.03,128.228,4
72,Smooth,Supernatural (Legacy Edition),Santana,1999,294986,0,0.609,0.16,0.609,0.923,4.73e-06,0.295,-3.908,0.0338,115.996,4
73,Man! I Feel Like A Woman!,Come On Over (International Version),Shania Twain,1999-11-09,233000,58,0.664,0.641,0.664,0.889,0.0,0.298,-3.058,0.0468,124.986,4
74,Stop,Spiceworld,Spice Girls,1997-01-01,204753,70,0.722,0.287,0.722,0.845,0.0,0.0561,-4.446,0.0308,130.13,4
75,"My Heart Will Go On - Love Theme from ""Titanic""",Let's Talk About Love,Céline Dion,1997-10-24,280000,9,0.428,0.732,0.428,0.276,5.33e-06,0.117,-11.729,0.0312,99.195,1
76,Sexbomb,Reload,Tom Jones,1999,211893,0,0.801,0.144,0.801,0.876,1.38e-05,0.104,-3.94,0.0446,122.98,4
77,Two Princes,Pocket Full Of Kryptonite,Spin Doctors,1991-08-27,256733,72,0.543,0.00162,0.543,0.912,2.1e-06,0.0565,-10.71,0.0601,103.731,4
78,How Deep Is Your Love,Take That Greatest Hits,Take That,1996-03-25,221000,1,0.786,0.672,0.786,0.376,0.000611,0.186,-14.285,0.0273,99.992,4
79,Un-Break My Heart,Secrets,Toni Braxton,1996-04-24,270333,69,0.625,0.413,0.625,0.426,0.0,0.116,-8.392,0.0271,110.018,4
80,I'm Every Woman,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,285106,61,0.666,0.0176,0.666,0.848,0.00295,0.126,-8.312,0.0529,119.541,4
81,Streets of Philadelphia,The Essential Bruce Springsteen,Bruce Springsteen,1973,195800,0,0.728,0.327,0.728,0.249,0.216,0.0875,-15.429,0.0328,93.683,4
82,"Baby, I Love Your Way",Unity,Big Mountain,1994-07-19,249520,62,0.651,0.0528,0.651,0.747,0.0,0.207,-7.269,0.0699,147.518,4
83,2 Become 1,Spice,Spice Girls,1996-01-01,241026,68,0.646,0.326,0.646,0.665,1.97e-05,0.238,-7.878,0.0268,143.966,4
84,"Men In Black - From ""Men In Black"" Soundtrack",Big Willie Style,Will Smith,1997-10-03,227266,65,0.801,0.0961,0.801,0.581,0.000296,0.0971,-8.491,0.0681,107.545,4
85,Strong Enough,Believe,Cher,1998,224000,68,0.593,0.0495,0.593,0.923,0.0,0.29,-6.19,0.101,124.862,4
86,Say My Name,The Writing's On The Wall,Destiny's Child,1999-09-07,271333,67,0.522,0.274,0.522,0.676,0.0,0.134,-3.571,0.16,67.427,4
87,Layla,Unplugged,Eric Clapton,1992-08-25,260440,0,0.51,0.286,0.51,0.389,0.000398,0.644,-14.317,0.0384,94.04,4
88,Più bella cosa,Dove c'è musica,Eros Ramazzotti,1996-04-30,265026,62,0.691,0.0524,0.691,0.76,0.0,0.217,-6.82,0.0262,110.008,4
89,It's Not Right But It's Okay,My Love Is Your Love,Whitney Houston,1998-11-17,292400,0,0.805,0.143,0.805,0.807,0.000893,0.0729,-7.076,0.0833,127.901,4
90,Easy,Angel Dust,Faith No More,1992-06-08,186960,58,0.506,0.339,0.506,0.554,0.000355,0.112,-6.743,0.0339,124.724,4
91,MMMBop,MmmBop : The Collection,Hanson,2005-01-01,267946,0,0.685,0.00513,0.685,0.948,0.00347,0.17,-5.182,0.0457,104.881,4
92,You're Still The One,Come On Over,Shania Twain,1997-11-04,212200,76,0.585,0.363,0.585,0.494,0.0,0.0886,-8.751,0.0353,133.822,4
93,Gettin' Jiggy Wit It,Big Willie Style,Will Smith,1997-10-03,227694,72,0.881,0.0175,0.881,0.874,1.19e-06,0.154,-4.505,0.139,107.891,4
94,November Rain,Use Your Illusion I,Guns N' Roses,1991-09-17,536066,81,0.294,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759,4
95,Don't Let the Sun Go Down on Me,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,346960,59,0.432,0.501,0.432,0.551,1.77e-06,0.472,-8.096,0.0289,136.465,4
96,Thank You,No Angel,Dido,1999,218360,70,0.725,0.3,0.725,0.583,0.000215,0.0665,-9.942,0.0424,79.984,4
97,Cose della vita,Tutte storie,Eros Ramazzotti,1993-04-19,288893,53,0.502,0.0634,0.502,0.603,0.000504,0.224,-9.496,0.0311,176.199,4
98,When You Believe,My Love Is Your Love,Whitney Houston,1998-11-17,272893,68,0.436,0.557,0.436,0.39,0.0,0.12,-9.62,0.0326,125.313,4
99,It's My Life,One Love (2nd Edition),Dr. Alban,1992-05-04,239933,70,0.655,0.00332,0.655,0.933,0.0365,0.0983,-7.703,0.0536,128.701,4
