,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Want It That Way,The Hits--Chapter One,Backstreet Boys,2001-10-23,213600,77,0.689,0.216,0.689,0.702,0.0,0.159,-5.642,0.0261,99.031,4
1,Torn,Glorious: The Singles 97-07,Natalie Imbruglia,2007-09-05,244813,70,0.559,0.0746,0.559,0.928,5.56e-05,0.696,-3.04,0.0355,96.315,4
2,Stay Another Day,Steam,East 17,1994-01-01,267133,57,0.524,0.578,0.524,0.489,0.000624,0.186,-7.828,0.0274,127.768,4
3,"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,1990-05-20,258786,75,0.52,0.34,0.52,0.652,5.49e-05,0.256,-6.655,0.0274,80.609,4
4,Wonderwall,Stop The Clocks,Oasis,2006-11-19,258613,0,0.409,0.000807,0.409,0.892,0.0,0.207,-4.373,0.0336,174.426,4
5,Save Tonight,Desireless,Eagle-Eye Cherry,1997-07-21,236040,56,0.548,0.000154,0.548,0.742,3.97e-05,0.109,-6.536,0.0337,119.496,4
6,"Fastlove, Pt. 1",Older,George Michael,1996-05-13,324666,64,0.735,0.052,0.735,0.64,0.00102,0.345,-7.522,0.072,104.444,4
7,Nothing Compares 2 U,I Do Not Want What I Haven't Got,Sinéad O'Connor,1990-07-01,280040,75,0.511,0.0425,0.511,0.574,2.33e-05,0.105,-7.016,0.0273,119.917,4
8,Iris,Dizzy up the Girl,The Goo Goo Dolls,1998-09-11,289533,78,0.315,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,3
9,Breakfast At Tiffany's,Home,Deep Blue Something,1995-01-01,257186,70,0.624,0.113,0.624,0.826,0.0,0.0938,-5.534,0.0287,110.368,4
10,Here Comes the Hotstepper - Heartical Mix,Here Comes The Hotstepper,Ini Kamoze,1994,250466,61,0.889,0.0141,0.889,0.454,0.000186,0.203,-8.598,0.221,100.36,4
11,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,264306,82,0.559,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
12,Cryin',Get A Grip,Aerosmith,1993-01-01,308333,72,0.445,0.000202,0.445,0.856,0.0101,0.367,-3.674,0.0327,105.872,3
13,Wannabe,Spice,Spice Girls,1996-01-01,173026,81,0.768,0.101,0.768,0.864,0.0,0.162,-6.145,0.0324,110.008,4
14,My Favourite Game,Gran Turismo,The Cardigans,1998-10-01,217133,0,0.58,0.000133,0.58,0.782,0.00115,0.31,-7.085,0.0338,143.475,4
15,All My Life,Love Always,K-Ci & JoJo,1997-01-01,331240,72,0.629,0.114,0.629,0.511,3.91e-06,0.0588,-8.651,0.0326,128.038,4
16,High,Postcards From Heaven,Lighthouse Family,1997-01-01,308333,70,0.662,0.108,0.662,0.628,0.0776,0.128,-8.502,0.0251,102.319,4
17,No Scrubs,Fanmail,TLC,1999-02-23,214400,80,0.743,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,92.909,4
18,When a Man Loves a Woman,"Time, Love & Tenderness",Michael Bolton,1991-04-23,231066,69,0.476,0.2,0.476,0.363,0.0,0.055,-10.706,0.0296,164.555,3
19,Freedom! '90 - Remastered,Listen Without Prejudice / MTV Unplugged (Deluxe),George Michael,2017-10-20,390861,70,0.677,0.225,0.677,0.852,3.95e-05,0.0595,-10.856,0.045,91.691,4
20,All for Love,If We Fall in Love Tonight,Rod Stewart,1996-11-12,281200,71,0.51,0.125,0.51,0.44,0.0,0.0994,-11.015,0.0293,74.8,4
21,Fading Like A Flower (Every Time You Leave),Joyride (Extended Version),Roxette,1991-04-02,230680,65,0.609,0.195,0.609,0.668,0.0,0.219,-5.738,0.026,105.419,4
22,Amazing,Get A Grip,Aerosmith,1993-01-01,356160,68,0.308,0.0645,0.308,0.747,8.27e-05,0.431,-5.434,0.037,139.454,4
23,Hold On,Wilson Phillips,Wilson Phillips,1990-01-01,266866,70,0.679,0.4,0.679,0.657,0.0,0.0497,-9.897,0.0255,97.8,4
24,Picture Of You,A Different Beat,Boyzone,1997-01-01,206040,66,0.768,0.109,0.768,0.919,1.14e-06,0.366,-6.066,0.0416,116.649,4
25,C'est La Vie,C'est la Vie: The Collection,B*Witched,1998-03-25,173693,62,0.705,0.0978,0.705,0.936,0.000124,0.0506,-5.109,0.0306,109.004,4
26,Waterfalls,Crazysexycool,TLC,1994-11-15,279506,74,0.77,0.311,0.77,0.505,7.4e-05,0.0777,-7.345,0.0828,171.798,4
27,Never Ever,All Saints,All Saints,1997,387573,63,0.738,0.559,0.738,0.541,0.0,0.0492,-5.485,0.0311,134.187,4
28,Father Figure - Remastered,Faith,George Michael,1987-10-30,336666,66,0.689,0.163,0.689,0.333,3.36e-05,0.0853,-13.288,0.0262,101.988,4
29,She's The One,I've Been Expecting You,Robbie Williams,1998,258026,70,0.243,0.663,0.243,0.609,1.13e-05,0.221,-8.451,0.0323,166.668,4
30,The King of Wishful Thinking,Indian Summer,Go West,1992-11-14,241760,64,0.669,0.033,0.669,0.868,0.0,0.0991,-7.377,0.0527,107.885,4
31,Ordinary World,Duran Duran,Duran Duran,1993-02-15,340200,73,0.472,0.0131,0.472,0.652,1.12e-05,0.14,-10.171,0.0305,140.124,4
32,You'll Be In My Heart,Tarzan Original Soundtrack (German Version),Various Artists,1999-01-01,258399,65,0.568,0.0572,0.568,0.748,4.48e-06,0.0932,-6.523,0.0298,96.699,4
33,Creep,Crazysexycool,TLC,1994-11-15,268533,68,0.811,0.0193,0.811,0.458,1.41e-06,0.0526,-9.688,0.0402,92.94,4
34,Endless Love,Back To Front,Lionel Richie,1992-01-01,266800,73,0.483,0.866,0.483,0.268,0.0163,0.145,-11.809,0.0257,93.47,4
35,Stars,Stars (Collector's Edition),Simply Red,1991,248599,71,0.716,0.154,0.716,0.818,0.000806,0.236,-7.456,0.0256,103.668,4
36,I Can't Dance - 2007 Digital Remaster,We Can't Dance,Genesis,1991-11-11,241360,65,0.916,0.432,0.916,0.523,1.13e-05,0.0488,-9.733,0.0521,107.564,4
37,I Promised Myself,Move Until We Fly,Nick Kamen,1990,240773,63,0.581,0.00424,0.581,0.801,0.00171,0.0326,-12.282,0.0306,128.179,4
38,Bring It All Back,S Club,S Club 7,1999-01-01,214400,65,0.679,0.333,0.679,0.903,0.0,0.372,-4.914,0.0463,108.114,4
39,Bitch,Blurring The Edges,Meredith Brooks,1997-01-01,252760,69,0.617,0.0112,0.617,0.886,9.63e-05,0.0523,-5.953,0.055,96.328,4
40,Stay,Tails,Lisa Loeb & Nine Stories,1995-01-01,183760,61,0.676,0.454,0.676,0.592,0.0,0.107,-6.887,0.0452,80.316,4
