,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Say a Little Prayer,Respect - The Very Best of,Aretha Franklin,2017-03-25,216773,62,0.59,0.48,0.59,0.355,0.0,0.0585,-14.051,0.0352,133.03,4
1,Puppy Love - Remix,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Paul Anka,2000-10-03,164000,58,0.29,0.662,0.29,0.408,0.0,0.272,-9.607,0.0318,102.229,3
2,Apache,Another String Of Hot Hits (And More!),The Shadows,1987-10-05,174186,57,0.595,0.0106,0.595,0.451,0.929,0.0962,-12.987,0.0288,133.673,4
3,Runaway - Rerecorded,#1 Hits Of The 60's,Various Artists,2009-09-30,147080,61,0.712,0.0893,0.712,0.819,2.97e-06,0.11,-6.826,0.094,143.563,4
4,I Heard It Through The Grapevine,In The Groove,Marvin Gaye,1968-08-26,194293,74,0.711,0.272,0.711,0.362,0.0,0.127,-10.851,0.0381,117.287,4
5,Breaking Up Is Hard to Do,Collections,Neil Sedaka,2003-03-29,136266,61,0.742,0.788,0.742,0.674,0.0,0.0698,-7.648,0.0354,116.53,4
6,A Whiter Shade Of Pale,A Whiter Shade Of Pale,Procol Harum,1967-05-12,248946,0,0.249,0.504,0.249,0.66,0.0026,0.0891,-6.905,0.0342,149.813,4
7,(What A) Wonderful World,The Man Who Invented Soul,Sam Cooke,2000-09-26,125440,73,0.691,0.627,0.691,0.507,0.0,0.457,-10.23,0.0343,128.518,4
8,Playboy,Playboy,The Marvelettes,1962-01-01,164840,43,0.863,0.371,0.863,0.691,0.0,0.0597,-5.611,0.0535,123.757,4
9,California Dreamin' - Single Version,Gold,The Mamas & The Papas,2005,158720,0,0.557,0.472,0.557,0.698,0.0,0.057,-7.471,0.039,112.479,4
10,Ring of Fire,Johnny Cash - 16 Biggest Hits,Johnny Cash,1999-02-02,155733,0,0.67,0.73,0.67,0.519,3.1e-05,0.379,-9.28,0.0308,104.357,4
11,Bad Moon Rising,Green River (40th Anniversary Edition),Creedence Clearwater Revival,1969-08-03,141600,1,0.641,0.0543,0.641,0.774,1.05e-05,0.0473,-5.916,0.0278,89.787,4
12,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Bonus Track),Let Me Belong To You (Expanded Edition),Brian Hyland,2012-01-31,141892,0,0.814,0.522,0.814,0.266,0.0,0.0243,-17.523,0.192,123.304,4
13,Stand By Me,Stand By Me,Ben E. King,2016-11-25,174253,60,0.653,0.411,0.653,0.334,3.47e-05,0.123,-6.955,0.0313,119.46,4
14,Surf City,Surf City And Other Swingin' Cities,Jan & Dean,2010-01-01,147266,54,0.534,0.497,0.534,0.807,5e-05,0.232,-12.871,0.0349,147.843,4
15,Here Comes The Sun - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,185733,2,0.557,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,129.171,4
16,No Particular Place To Go - Stereo Remix,Rock 'N' Roll Rarities,Chuck Berry,1986-01-01,164400,31,0.574,0.212,0.574,0.542,0.000117,0.0645,-11.578,0.0657,129.646,4
17,Hey Baby,All About Baby,Bruce Channel,2013-01-01,140573,38,0.655,0.695,0.655,0.491,0.0,0.324,-10.349,0.0349,132.278,4
