,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
26,Everywhere,The Spirit Room,Michelle Branch,2001-07-31,214826,66,0.523,0.0136,0.523,0.828,0.000255,0.165,-4.696,0.0762,96.952,4
27,Replay,Replay,Iyaz,2009-08-18,182306,78,0.706,0.173,0.706,0.751,0.0,0.168,-6.323,0.0708,91.031,4
28,L'Amour Toujours,Top 100 Greatest Dance Hits,Various Artists,2011-01-14,238759,71,0.617,0.0328,0.617,0.728,0.0482,0.36,-7.932,0.0292,139.066,4
29,Butterfly,The Gift Of Game,Crazy Town,1999-11-04,216733,72,0.736,0.00132,0.736,0.811,0.000142,0.107,-4.17,0.081,103.502,4
30,Rehab,Back To Black,Amy Winehouse,2006-10-27,213760,70,0.434,0.0473,0.434,0.872,1.83e-06,0.396,-2.974,0.0702,71.515,4
31,Warwick Avenue,Rockferry,Duffy,2008,226386,66,0.493,0.339,0.493,0.59,0.0,0.121,-5.814,0.0392,169.908,4
32,Be With You,Enrique,Enrique Iglesias,1999-01-01,219360,58,0.683,0.0395,0.683,0.866,0.00161,0.0483,-5.436,0.0329,121.996,4
33,Amazed,Lonely Grill,Lonestar,1999,240866,68,0.561,0.26,0.561,0.543,0.0,0.124,-8.498,0.0324,139.803,4
34,Yellow,Parachutes,Coldplay,2000-07-10,266773,83,0.429,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,173.365,4
35,Beautiful Day,All That You Can't Leave Behind,U2,2000-01-01,248400,74,0.536,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,136.258,4
36,Starlight,Black Holes and Revelations,Muse,2006-06-19,240213,74,0.55,0.000436,0.55,0.874,1.02e-05,0.206,-4.046,0.0321,121.61,4
37,Take Me Out,Franz Ferdinand,Franz Ferdinand,2004-02-16,237026,72,0.277,0.000409,0.277,0.663,0.00051,0.136,-8.821,0.0377,104.561,4
38,Cosmic Love,Lungs (Deluxe Version),Florence + The Machine,2009,255906,63,0.518,0.137,0.518,0.809,0.000239,0.119,-5.451,0.0382,140.065,4
39,Love Is A Losing Game,Back To Black (Deluxe Edition),Amy Winehouse,2006,155413,66,0.484,0.337,0.484,0.293,0.00627,0.146,-16.544,0.0311,165.008,4
40,All My Life,One By One (Expanded Edition),Foo Fighters,2002-10-22,263440,73,0.58,0.000218,0.58,0.604,0.000579,0.477,-5.703,0.047,167.784,4
41,I'm a Slave 4 U,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,203600,68,0.847,0.415,0.847,0.843,0.000134,0.107,-3.579,0.106,110.027,4
42,Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,78,0.647,0.0206,0.647,0.729,0.0489,0.134,-6.251,0.0236,94.01,4
43,Clocks,A Rush of Blood to the Head,Coldplay,2002-08-08,307879,78,0.577,0.599,0.577,0.749,0.0112,0.183,-7.215,0.0279,130.969,4
44,Here Without You,Here Without You,3 Doors Down,2003-01-01,237075,0,0.555,0.0465,0.555,0.537,0.0,0.246,-6.785,0.0253,143.989,4
45,Gold Digger,Late Registration,Kanye West,2005-08-30,207626,78,0.629,0.0195,0.629,0.696,0.0,0.0554,-5.572,0.348,93.034,4
46,Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,230106,57,0.905,0.258,0.905,0.544,0.0,0.0618,-4.354,0.117,90.026,4
47,Dog Days Are Over,Lungs (Deluxe Version),Florence + The Machine,2009,252818,74,0.501,0.0338,0.501,0.809,0.00602,0.119,-5.264,0.0938,149.964,4
48,Crazy in Love,Crazy In Love,Beyoncé,2003-06-30,249106,56,0.646,0.000553,0.646,0.72,7.61e-06,0.0556,-7.063,0.206,99.259,4
49,Best of You,In Your Honor,Foo Fighters,2005-06-14,255626,76,0.366,0.000769,0.366,0.94,9.42e-05,0.188,-5.119,0.0696,130.198,4
50,Make You Feel My Love,19,Adele,2008-01-28,212040,77,0.559,0.907,0.559,0.172,0.000383,0.105,-10.636,0.0291,77.025,4
51,SexyBack (feat. Timbaland),FutureSex/LoveSounds,Justin Timberlake,2006-09-12,242733,78,0.967,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,4
52,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call (Deluxe),Eminem,2005-12-06,326466,3,0.701,0.00971,0.701,0.728,0.00115,0.361,-4.554,0.255,171.388,4
53,In Da Club,Get Rich Or Die Tryin' / The Massacre (Explicit Version),50 Cent,2009-11-03,193466,0,0.901,0.262,0.901,0.72,0.0,0.0766,-2.826,0.36,90.059,4
54,Crazy,St. Elsewhere,Gnarls Barkley,2006-04-24,177466,79,0.855,0.0505,0.855,0.587,0.00714,0.105,-4.589,0.0336,111.97,4
55,Irreplaceable,B'Day Deluxe Edition,Beyoncé,2007-05-29,227853,74,0.447,0.0293,0.447,0.694,5.46e-06,0.167,-4.637,0.382,175.868,4
56,Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2009-01-01,202066,80,0.652,0.00112,0.652,0.698,0.000115,0.0886,-4.667,0.042,96.021,4
57,Toxic,Mother's Day Songs,Various Artists,2018-03-02,198800,62,0.774,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,4
58,Hey Ya! - Radio Mix / Club Mix,Speakerboxxx/The Love Below,OutKast,2003-09-23,235213,2,0.719,0.0588,0.719,0.967,0.000249,0.206,-2.435,0.0552,79.505,4
59,Where Is The Love?,Elephunk (International Version),Black Eyed Peas,2003-01-01,272533,1,0.835,0.101,0.835,0.687,0.0,0.132,-3.18,0.184,94.059,4
60,TiK ToK,Pure... 2000s Party,Various Artists,2014-08-29,199733,64,0.745,0.0608,0.745,0.667,0.0,0.283,-6.781,0.121,120.046,4
61,Don't Cha,PCD (Revised International Version),The Pussycat Dolls,2005-01-01,272080,0,0.875,0.00542,0.875,0.631,2.54e-06,0.127,-3.475,0.099,120.002,4
62,Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,267080,78,0.835,0.0336,0.835,0.669,6.92e-05,0.0535,-5.582,0.0643,122.668,4
63,Poker Face,The Fame Monster (International Deluxe),Lady Gaga,2009-01-01,237200,0,0.851,0.12,0.851,0.806,1.39e-06,0.122,-4.618,0.0788,119.002,4
64,911,The Ecleftic -2 Sides II A Book,Wyclef Jean,2000-05-01,259346,57,0.72,0.243,0.72,0.666,5.79e-06,0.0872,-9.162,0.227,87.024,4
65,Hit 'Em up Style (Oops!),Bittersweet,Blu Cantrell,2003-06-11,250493,55,0.698,0.173,0.698,0.722,0.0,0.289,-5.319,0.0799,90.116,4
66,Survivor,Survivor,Destiny's Child,2001-05-01,254026,72,0.514,0.0559,0.514,0.911,0.0,0.775,-2.027,0.41,161.109,4
67,I'm Yours,I'm Yours,Jason Mraz,2008-02-12,243494,63,0.689,0.564,0.689,0.432,0.0,0.0928,-9.394,0.0452,151.079,4
68,No Air (feat. Chris Brown),Jordin Sparks,Jordin Sparks,2007-11-20,264373,75,0.466,0.0521,0.466,0.759,0.0,0.0587,-4.978,0.199,160.033,4
69,Apologize,Dreaming Out Loud (International Version),OneRepublic,2007-01-01,184826,0,0.657,0.0252,0.657,0.588,0.0,0.087,-6.005,0.0272,118.022,4
70,Dilemma,Nellyville,Nelly,2002-06-25,289160,79,0.727,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,168.189,4
71,U Remind Me,8701,Usher,2001-08-07,266893,74,0.657,0.194,0.657,0.629,0.0,0.254,-4.938,0.0782,93.985,4
72,Young Folks,Electronic Beats Collectables Volume 1 Digital,Electronic Beats,2007-10-19,278719,0,0.672,0.0128,0.672,0.857,0.0009,0.16,-4.915,0.038,138.153,4
73,Bye Bye Bye,Greatest Hits,*NSYNC,2005-10-21,199640,59,0.571,0.0198,0.571,0.87,6.6e-06,0.0564,-3.877,0.0641,172.716,4
74,Every time we touch,Everytime We Touch [Premium Edition],Cascada,2006,197124,0,0.633,0.00281,0.633,0.976,1.29e-05,0.382,-5.362,0.0519,142.027,4
75,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,275986,81,0.583,0.00864,0.583,0.829,0.0,0.0426,-4.603,0.134,174.028,4
76,Chasing Pavements,19,Adele,2008-01-28,210506,67,0.614,0.291,0.614,0.47,0.0,0.111,-6.09,0.0255,80.045,4
77,Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece [Explicit Version],Snoop Dogg,2004-01-01,266066,0,0.892,0.169,0.892,0.628,0.0,0.102,-3.832,0.216,92.063,4
78,Ordinary People,Get Lifted,John Legend,2004,281466,1,0.469,0.929,0.469,0.132,0.0,0.0873,-14.001,0.0807,67.011,3
79,One More Time - Radio Edit [Short Radio Edit],"Musique, Vol. 1",Daft Punk,2006-03-31,235466,64,0.648,0.0348,0.648,0.671,0.0,0.376,-8.49,0.104,122.891,4
80,Kids,Oracular Spectacular,MGMT,2007-12-14,302840,80,0.451,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,122.961,4
81,Maria Maria (feat. The Product G&B) - Radio Edit,Pure... 2000s Party,Various Artists,2014-08-29,237920,54,0.755,0.0532,0.755,0.744,1.25e-05,0.0263,-5.042,0.0996,97.923,4
82,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,Beyoncé,2008-11-17,193213,70,0.426,0.0383,0.426,0.584,0.0,0.188,-5.293,0.296,193.437,4
83,She Will Be Loved,Songs About Jane,Maroon 5,2002-06-25,257133,2,0.524,0.0567,0.524,0.711,0.0,0.134,-5.494,0.0405,203.867,4
84,Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,78,0.706,0.00577,0.706,0.801,0.0,0.0822,-6.333,0.0399,100.013,4
85,Complicated,Let Go,Avril Lavigne,2002-06-14,244506,0,0.582,0.0615,0.582,0.758,8.41e-06,0.309,-5.951,0.0464,77.982,4
86,It Wasn't Me,The Boombastic Collection - Best of Shaggy,Shaggy,2008-01-01,227546,69,0.852,0.0503,0.852,0.604,0.0,0.327,-4.569,0.0642,94.762,4
87,Bootylicious,Survivor,Destiny's Child,2001-01-01,207354,59,0.835,0.00247,0.835,0.833,0.0,0.171,-4.364,0.284,103.358,4
88,Since U Been Gone,Since U Been Gone,Kelly Clarkson,2005-01-01,188960,59,0.664,0.00169,0.664,0.741,0.0502,0.113,-5.391,0.0343,131.006,4
89,White Flag,Life For Rent,Dido,2003,240040,69,0.509,0.344,0.509,0.537,7.26e-06,0.0805,-6.834,0.0383,170.037,4
90,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,84,0.56,0.727,0.56,0.442,1.71e-05,0.11,-7.224,0.0243,146.448,4
91,4 Minutes (feat. Justin Timberlake & Timbaland),Celebration (double disc version),Madonna,2009-09-18,189693,70,0.753,0.00994,0.753,0.931,0.00696,0.234,-4.922,0.0652,113.029,4
92,"One, Two Step (feat. Missy Elliott)",Goodies,Ciara,2004-09-27,203786,75,0.944,0.042,0.944,0.511,0.00107,0.0379,-10.96,0.161,113.046,4
93,Halo,I AM...SASHA FIERCE,Beyoncé,2008-11-17,261640,78,0.508,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,4
94,Love Story,Fearless,Taylor Swift,2008-11-11,235266,73,0.618,0.17,0.618,0.741,0.0,0.0822,-3.95,0.031,118.984,4
95,Marry You,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,230120,74,0.62,0.332,0.62,0.832,0.0,0.104,-4.848,0.036,144.926,4
96,Beautiful,Stripped,Christina Aguilera,2002-07-19,238560,73,0.456,0.578,0.456,0.573,3.05e-06,0.114,-3.866,0.0275,76.19,4
97,Rock Your Body,Justified,Justin Timberlake,2002-11-04,267266,73,0.891,0.202,0.891,0.714,0.000234,0.0521,-6.055,0.14,100.972,4
98,Because of You,Greatest Hits - Chapter One,Kelly Clarkson,2012-11-16,220373,62,0.583,0.243,0.583,0.58,0.0,0.198,-5.395,0.0319,139.82,4
99,Bad Romance,Bad Romance,Lady Gaga,2009-01-01,294640,0,0.695,0.00264,0.695,0.919,4.1e-05,0.062,-3.769,0.0381,119.002,4
