,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,This Love,Songs About Jane,Maroon 5,2002-06-25,206200,1,0.714,0.0551,0.714,0.868,0.0,0.0987,-4.596,0.0363,95.05,4
1,If You're Not The One,Gotta Get Thru This,Daniel Bedingfield,2002,257026,61,0.688,0.504,0.688,0.538,0.0,0.111,-7.608,0.0292,119.998,4
2,Just Dance,Just Dance,Lady Gaga,2008-01-01,244440,64,0.821,0.0278,0.821,0.741,2.51e-05,0.19,-4.57,0.0313,118.984,4
3,About You Now,Change,Sugababes,2007-01-01,212400,67,0.584,6.52e-05,0.584,0.699,6.05e-05,0.486,-6.065,0.0378,82.499,4
4,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,84,0.778,0.284,0.778,0.824,0.0,0.405,-5.892,0.0712,100.024,4
5,Yeah!,Yeah!,Usher,2004-02-09,250066,1,0.895,0.0219,0.895,0.795,0.0,0.0403,-4.693,0.0977,105.004,4
6,Pon de Replay,Music Of The Sun,Rihanna,2005-08-29,246960,78,0.779,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,99.019,4
7,Pure Shores,Saints & Sinners,All Saints,2000-08-16,268746,64,0.631,0.0498,0.631,0.664,0.00042,0.0696,-9.197,0.0242,100.618,4
8,Rock DJ,Sing When You're Winning,Robbie Williams,2000-01-01,258560,70,0.708,0.0267,0.708,0.772,0.0,0.467,-4.264,0.0322,103.035,4
9,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009-01-01,289133,73,0.743,0.0873,0.743,0.766,0.0,0.509,-6.375,0.0265,127.96,4
10,Out Of Reach,Rise,Gabrielle,2001-01-01,196986,68,0.51,0.503,0.51,0.48,0.0,0.106,-6.567,0.0452,182.862,4
11,Sex on Fire,Sex on Fire,Kings of Leon,2008-08-11,204586,0,0.544,0.00166,0.544,0.903,0.00632,0.1,-5.651,0.0545,153.629,4
12,You Give Me Something,Undiscovered (International Version),James Morrison,2006-01-01,213173,66,0.559,0.216,0.559,0.688,0.0,0.0855,-6.496,0.114,79.753,4
13,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,79,0.751,0.3,0.751,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,4
14,Goodbye My Lover,Back to Bedlam,James Blunt,2005-08-08,258653,69,0.432,0.953,0.432,0.261,0.00342,0.0903,-12.591,0.0512,89.567,4
15,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,81,0.485,0.0941,0.485,0.619,3.31e-06,0.109,-7.115,0.0289,138.017,4
16,Hollaback Girl,Love Angel Music Baby,Gwen Stefani,2004-11-22,199853,71,0.926,0.35,0.926,0.916,6.17e-06,0.0234,-2.221,0.0929,110.007,4
17,I Kissed A Girl,One Of The Boys,Katy Perry,2008-06-17,179640,73,0.699,0.00223,0.699,0.76,0.0,0.132,-3.173,0.0677,129.996,4
18,Breathless,In Blue,The Corrs,2000-01-01,207506,69,0.607,0.0541,0.607,0.82,6.8e-05,0.269,-7.754,0.0597,126.988,4
19,Love Song,Little Voice,Sara Bareilles,2007-07-03,258826,76,0.583,0.0208,0.583,0.786,0.0,0.188,-3.142,0.0301,123.052,4
20,Push The Button,Taller In More Ways,Sugababes,2005,218093,65,0.962,0.0485,0.962,0.66,0.0,0.076,-5.096,0.061,126.016,4
21,Back To Black,Back To Black,Amy Winehouse,2006-10-27,240440,73,0.49,0.123,0.49,0.725,2.68e-05,0.0983,-3.304,0.0392,123.28,4
22,Mercy,Rockferry,Duffy,2008,219920,69,0.793,0.266,0.793,0.859,0.000356,0.133,-3.774,0.0332,129.911,4
23,World of Our Own,World of Our Own,Westlife,2001-09-01,211413,67,0.707,0.0163,0.707,0.761,0.0,0.0627,-4.635,0.0341,97.003,4
24,Broken Strings,"Songs For You, Truths For Me (International Exclusive Bundle)",James Morrison,2008-01-01,250453,71,0.57,0.00967,0.57,0.717,0.0,0.0833,-4.914,0.029,111.91,4
25,You're Beautiful,Back to Bedlam,James Blunt,2005-08-08,209493,77,0.675,0.633,0.675,0.479,1.76e-05,0.088,-9.87,0.0278,81.998,4
